rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Duke,ACC,32-2,128.14408563450286,4,90.76093105875165,2,0.9814152331626157,1,32.0,2.0,17.0,1.0,17-1,0.7412316656875554,0.6248392906666714,0.8006072138262933,0.7412316656875554,0.6248392906666714,0.8006072138262933,0.6149241177856172,0.6349828814891757,116.58349286555396,102.9282944397531,116.58349286555396,102.9282944397531,129.26480233102586,90.78915367008216,128.0356591546261,89.9626607131249,0.983018647394141,20.0,0.07076633522197195,1457.0,1123.0,1174.9624999999999,1.2400395757311404,0.9557751843143931,0.0,0.9444444444444444,13.66978281342057,2,39,65.79448094891944
2,Michigan,B10,31-2,127.65230202122153,7,90.4926678907331,1,0.9812286824054235,2,31.677139275114452,2.322860724885549,19.0,1.0,19-1,0.7983337880995117,0.7294761431328106,0.8236648649552845,0.803130596522729,0.7294761431328106,0.8236648649552845,0.5811807986497897,0.6597412766126413,118.91288969073217,102.33279737044894,119.31409131653947,102.27060891012343,129.5202337504093,93.7201891704662,127.7135683647466,88.32015797778946,0.9858173098741213,21.0,0.08440064298446648,1719.0,1418.0,1400.3750000000002,1.2275283406230473,1.0125859144871907,0.0,0.95,14.172090422540341,1,19,71.42124838279796
3,Arizona,B12,32-2,126.90756541678522,9,91.33305486545214,3,0.9777493373333525,3,32.0,2.0,16.0,2.0,16-2,0.7389343091336245,0.5602597030647545,0.8383867594842351,0.7389343091336245,0.5602597030647545,0.8383867594842351,0.6117590040766252,0.7205536176928622,116.9666429591286,103.20634145774187,116.9666429591286,103.20634145774187,126.41152730525219,91.41410338043946,127.41571584887694,91.39456371967833,0.978565681281783,19.0,0.10032510833542385,1513.0,1265.0,1284.0874999999999,1.178268614872429,0.9851353587664393,0.0,0.8888888888888888,13.665723194492324,3,12,70.02737340402852
4,Florida,SEC,26-7,126.08189738728258,11,92.18691820520999,4,0.973423828089066,4,26.0,7.0,16.0,2.0,16-2,0.7584303305461764,0.617402419400013,0.8423759573452954,0.7584303305461764,0.617402419400013,0.8423759573452954,0.6064495551530112,0.6828970924904829,118.63221942968727,104.20465601371637,118.63221942968727,104.20465601371637,129.49500538216267,91.62217651698887,127.86038849268343,92.88075368700126,0.9752931791802062,20.0,-0.034093274481943325,1613.0,1307.0,1303.2875,1.2376394310541612,1.0028485656464903,0.0,0.8888888888888888,8.535137428723946,6,253,70.39156291440712
5,Houston,B12,28-6,125.34291366409997,12,92.33519072219471,5,0.9711037507058256,5,28.0,6.0,14.0,4.0,14-4,0.7309633282957028,0.5364763914573041,0.838078277830731,0.7309633282957028,0.5364763914573041,0.838078277830731,0.6312840880966218,0.7921240451743997,116.41713118956127,103.63413596145034,116.41713118956127,103.63413596145034,127.28523647309154,93.1391215449209,127.51608117899781,94.68097477099671,0.9684428150337543,17.0,0.0005075245173749021,1384.0,1165.0,1162.3625000000002,1.1906784673456,1.0022690855907685,0.0,0.7777777777777778,8.986681611823807,4,168,63.32225487800481
6,Illinois,B10,24-8,131.9325957683567,2,98.15253763382182,24,0.9677462737124738,6,24.0,8.0,15.0,5.0,15-5,0.7386173246598147,0.5750986911296179,0.8189961917589125,0.7386173246598147,0.5750986911296179,0.8189961917589125,0.6164629085219647,0.7220998617200981,117.15380455784228,103.33507218751888,117.15380455784228,103.33507218751888,133.32100927408092,99.21182366262384,132.72859706682212,100.4833995812043,0.9608572136531474,17.0,-0.04930735165504396,1633.0,1416.0,1312.4,1.2442852788783907,1.0789393477598292,0.0,0.75,6.561926478655059,16,299,65.7121027507736
7,Iowa St.,B12,27-7,123.74961359225634,23,92.58327961268195,6,0.9656680844249492,7,27.0,7.0,12.0,6.0,12-6,0.6970617697402114,0.4595029455503558,0.8337738425966856,0.6970617697402114,0.4595029455503558,0.8337738425966856,0.645920718549467,0.7978589390512283,114.81874414123683,103.57887124417465,114.81874414123683,103.57887124417465,121.1807771398665,94.31266375347695,120.54067892300507,96.17680161403567,0.930648226499317,14.0,-0.011980299887102919,1360.0,1221.0,1200.275,1.1330736706171503,1.0172668763408386,0.0,0.6666666666666666,7.383625636668708,12,214,66.95481056992368
8,Purdue,B10,26-8,132.55374496444796,1,100.21838972224768,36,0.961425274464693,8,26.322860724885548,8.67713927511445,13.0,7.0,13-7,0.7736914261572592,0.6213245565752376,0.8419082149340305,0.7796210620504251,0.6213245565752376,0.8419082149340305,0.5857638631463433,0.7229121267277674,118.09453810469002,102.79394461907772,118.36761707383799,102.44247956961595,132.14848045842348,101.75669033151931,134.20772289916636,100.11643916539855,0.9667579016451958,19.0,-0.0052676441685051145,1596.0,1455.0,1300.375,1.2273382678073632,1.1189080073055848,0.0,0.65,8.301789074683315,7,185,64.61947410309818
9,Connecticut,BE,29-5,123.06305184325896,25,94.90129728441312,12,0.9520465804388014,9,29.0,5.0,17.0,3.0,17-3,0.7142270475493392,0.5824922338676934,0.7741970198302959,0.7142270475493392,0.5824922338676934,0.7741970198302959,0.6663498509331125,0.650527793323315,114.68577843544597,103.57115534237015,114.68577843544597,103.57115534237015,123.22768407818535,95.39162251541866,122.79172808264624,91.56057807117503,0.9669179148902336,11.0,0.06764918611777959,1554.0,1343.0,1335.8125,1.163336920413606,1.005380620408927,0.0,0.85,8.840677485535112,5,44,64.58236586142766
10,Vanderbilt,SEC,26-7,127.78738882701145,5,99.1627626588234,28,0.9486541822622351,10,26.57754904870279,7.422450951297212,11.0,7.0,11-7,0.7319185694290088,0.5228269432424294,0.8578798925850286,0.7377769039998979,0.5228269432424294,0.8578798925850286,0.6288966456437367,0.8052247145184819,116.90087391164884,104.21612163366703,117.22092095610292,104.14777625653288,125.20843952302286,100.7328502347263,130.27102060464466,101.92110878261992,0.9438694063293155,19.0,0.03261551185880718,1470.0,1410.0,1259.2750000000003,1.1673383494471021,1.1196918862043634,0.0,0.6111111111111112,7.573017101078934,9,99,69.08127236060159
