season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2023,03/15/2023,1,Kansas,27-7,27,7,12.6,1,265,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,2,Alabama,29-5,29,5,12.0,1,170,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,3,Texas,26-8,26,8,11.9,2,208,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,4,Baylor,22-10,22,10,11.8,2,238,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,5,Iowa St,19-13,19,13,11.6,3,348,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,6,West Virginia,19-14,19,14,11.2,5,223,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,7,Michigan St,19-12,19,12,10.7,2,229,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,8,Oklahoma,15-17,15,17,10.7,7,163,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,9,Tennessee,23-10,23,10,10.5,3,243,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,10,TCU,21-12,21,12,10.5,8,354,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,11,Indiana,22-11,22,11,10.5,7,245,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,12,Oklahoma St,18-15,18,15,10.4,10,217,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,13,Purdue,29-5,29,5,10.3,2,249,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,14,Ohio St,16-19,16,19,10.2,7,345,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,15,Creighton,21-12,21,12,10.2,4,289,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,16,UConn,25-8,25,8,10.1,2,287,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,17,Arkansas,20-13,20,13,10.0,12,201,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,18,Xavier,25-9,25,9,9.9,6,251,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,19,Kansas St,23-9,23,9,9.8,16,274,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,20,Auburn,20-12,20,12,9.7,11,210,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,21,UCLA,29-5,29,5,9.7,5,213,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,22,Kentucky,21-11,21,11,9.6,2,227,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,23,Iowa,19-13,19,13,9.6,12,325,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,24,Marquette,28-6,28,6,9.5,11,247,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,25,Texas Tech,16-16,16,16,9.3,19,257,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,26,Arizona,28-6,28,6,9.3,6,217,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,27,Wisconsin,18-14,18,14,9.3,8,189,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,28,Illinois,20-12,20,12,9.3,3,339,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,29,Penn St,22-13,22,13,9.2,23,213,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,30,Maryland,21-12,21,12,9.1,16,292,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,31,Michigan,18-15,18,15,9.0,27,190,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,32,Texas A&M,25-9,25,9,8.8,32,236,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,33,Florida,16-16,16,16,8.8,19,226,34,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,34,Rutgers,19-15,19,15,8.8,17,313,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,35,Northwestern,21-11,21,11,8.7,32,342,35,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,36,Villanova,17-17,17,17,8.7,12,120,36,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,37,Gonzaga,28-5,28,5,8.6,1,172,37,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,38,Duke,26-8,26,8,8.6,9,181,38,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,39,North Carolina,20-13,20,13,8.4,3,165,40,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,40,Oregon,19-14,19,14,8.4,4,285,39,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,41,Seton Hall,17-16,17,16,8.3,16,285,43,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,42,Missouri,24-9,24,9,8.3,39,311,41,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,43,Nebraska,16-16,16,16,8.2,30,332,44,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,44,Vanderbilt,21-14,21,14,8.2,24,88,42,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,45,Mississippi St,21-13,21,13,8.1,39,207,45,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,46,Memphis,26-8,26,8,7.9,3,59,46,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,47,Virginia,25-7,25,7,7.9,3,305,47,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,48,Houston,31-3,31,3,7.8,6,214,48,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,49,Providence,21-11,21,11,7.7,40,294,49,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,50,USC,22-10,22,10,7.4,36,232,50,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,51,Arizona St,22-12,22,12,7.3,44,202,51,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,52,Colorado,18-16,18,16,7.2,15,184,52,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,53,Butler,14-18,14,18,7.2,28,331,54,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,54,DePaul,10-23,10,23,7.1,54,242,55,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
2023,03/15/2023,55,Miami,25-7,25,7,7.1,28,251,56,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2023
