stop_id,route_id,driver_id,vehicle_id,hub,delivery_zone,delivery_note,customer_type,priority_level,signature_required,weather,stop_datetime_raw,scheduled_window_start_raw,scheduled_window_min,actual_delivery_time_raw,actual_arrival_min,packages_count,package_weight_lb_raw,package_weight_lb,distance_from_prev_mi,service_time_min,fuel_cost_usd,tip_usd,customer_claim_usd,cargo_temp_f,gps_accuracy_m,device_battery_pct,delivery_status,failure_reason,customer_satisfaction,internal_comment
S-00001,R-102,D-041,V-008,Fort Collins,Rural,front_desk,residential,Standard,0,clear,08-Mar-2025 12:50 MDT,08-Mar-2025 12:50 MDT,125,2024-11-01 13:15:00,375,3,5.98,5.98,11.879,14.5,3.69,3.48,0.0,38.82,,53.3,delivered,,85.67,
S-00002,R-116,D-048,V-018,Boulder,Downtown,leave_at_door,residential,expedited,0,clear,2025-04-02 09:30 MST,2025-04-02 09:30 MST,54,2024-11-02 09:36:00,156,2,2.52,2.52,2.408,29.54,0.97,,118.12,51.82,6.5,91.9,failed,address_issue,55.04,check
S-00003,R-148,D-015,V-009,Colorado Springs,Suburban,front_desk,residential,same_day,0,clear,17-Aug-2025 10:30 MDT ,17-Aug-2025 10:30 MDT ,43,2024-11-03 10:20:00,200,3,12.4,12.4,2.788,26.51,1.07,0.0,0.0,57.34,20.7,59.7,resheduled,,64.56,
S-00004,R-106,D-007,V-035,Boulder,Rural,leave_at_door,Residential,same_day,0,snow,07/08/2025 06:00 PM,07/08/2025 06:00 PM,56,2024-11-04 18:15:00,675,3,10.11,10.11,8.024,13.4,1.88,0.0,0.0,41.56,5.3,90.3,failed,address_issue,47.71,
S-00005,R-103,D-038,V-028,Boulder,Suburban,side_entrance,business ,standard,0,rain,2025-02-23 11:15 MST,2025-02-23 11:15 MST,121,2024-11-05 11:15:00,255,5,6.22,6.22,6.72,21.54,1.53,,0.0,25.35,9.6,51.4,delivered,,82.46,check
S-00006,R-114,D-002,V-006,Fort-Collins,Suburban,building_super,Residential,standard,0,rain,08-Feb-2025 07:45,08-Feb-2025 07:45,122,2024-11-06 07:55:00,55,1,3.81,3.81,-2.077,10.96,1.19,,0.0,45.66,4.5,55.1,delivered,,90.62,
S-00007,R-139,D-015,V-033,Denver-East,Suburban,mailroom,business,expedited,1,clear,2025/05/13 08:20:00 MDT ,2025/05/13 08:20:00 MDT ,45,2024-11-07 08:28:00,88,5,4.21,4.21,2.92,17.46,1.33,,0.0,36.17,15.2,52.1,delivered,,72.0,
S-00008,R-113,D-002,V-036,Denver-East ,Industrial,mailroom,business,standard,1,clear,14-Dec-2025 17:30 MDT,14-Dec-2025 17:30 MDT,111,2024-11-08 17:27:00,627,1,4.55,4.55,3.632,33.28,1.63,0.0,118.12,38.94,6.2,38.1,failed,weather_delay,54.55,
S-00009,R-127,D-046,V-035,Denver-East,Suburban,garage,residential,standard,1,wind,2025-12-16 15:00 MDT,2025-12-16 15:00 MDT,121,2024-11-09 14:59:00,479,1,1.36,1.36,8.386,25.61,1.62,0.0,0.0,56.49,6.8,64.0,delivered,,83.99,
S-00010,R-138,D-015,V-029,Boulder,Rural,locker_pickup,business,standard,1,wind,13-Mar-2025 20:20 MST,13-Mar-2025 20:20 MST,86,2024-11-10 20:30:00,810,1,2.27,2.27,19.001,13.07,3.82,0.0,0.0,54.2,13.3,101.2,rescheduled,,74.51,
S-00011,R-149,D-018,V-001,Boulder,Suburban,building_super,residential,expedite,0,snow,06/14/2025 12:05 PM,06/14/2025 12:05 PM,59,2024-11-11 12:14:00,314,2,4.53,4.53,5.346,9.96,2.6,0.0,0.0,61.26,24.2,47.4,failed,address_issue,58.16,
S-00012,R-145,D-052,V-011,Denver-West,Campus,leave_at_door,res,standard,0,clear,08/08/2025 05:10 PM MST,08/08/2025 05:10 PM MST,127,2024-11-12 17:06:00,606,1,3.96,3.96,1.709,7.0,0.81,,0.0,35.19,10.2,65.2,delivered,security_access,85.51,
S-00013,R-118,D-028,V-022,Denver-East,Rural,garage,residential,expedited,1,wind,08/30/2025 12:30 PM MST,08/30/2025 12:30 PM MST,44,2024-11-13 12:36:00,336,1,5.09,5.09,10.696,16.4,4.66,1.95,0.0,42.2,3.1,86.2,delivered,,75.37,
S-00014,R-149,D-010,V-014,Boulder,Rural,call_on_arrival,residential,standard,0,rain,26-Mar-2025 08:30 MST,26-Mar-2025 08:30 MST,118,2024-11-14 08:41:00,101,2,2.20,2.2,14.308,6.97,4.71,,118.12,50.48,8.7,45.7,failed,,53.74,
S-00015,R-106,D-022,V-007,Boulder,Suburban,mailroom,business,STANDARD,1,clear,2025/01/01 18:55:00 MDT,2025/01/01 18:55:00 MDT,109,2024-11-15 18:58:00,718,2,5.63,5.63,5.03,17.39,2.27,0.0,0.0,53.05,800.0,77.0,failed ,,53.98,
