stop_id,route_id,driver_id,vehicle_id,hub,delivery_zone,delivery_note,customer_type,priority_level,signature_required,weather,stop_datetime_raw,scheduled_window_start_raw,scheduled_window_min,actual_delivery_time_raw,actual_arrival_min,packages_count,package_weight_lb_raw,package_weight_lb,distance_from_prev_mi,service_time_min,fuel_cost_usd,tip_usd,customer_claim_usd,cargo_temp_f,gps_accuracy_m,device_battery_pct,delivery_status,failure_reason,customer_satisfaction,internal_comment,hub_clean,delivery_zone_clean,customer_type_clean,priority_level_clean,delivery_status_clean,stop_datetime,scheduled_window_start,stop_dayofweek,stop_is_weekend,lateness_min,stop_id_binned,route_id_binned,driver_id_binned,vehicle_id_binned,hub_binned,delivery_zone_binned,delivery_note_binned,customer_type_binned,priority_level_binned,weather_binned,stop_datetime_raw_binned,scheduled_window_start_raw_binned,actual_delivery_time_raw_binned,delivery_status_binned,failure_reason_binned,internal_comment_binned,hub_clean_binned,delivery_zone_clean_binned,customer_type_clean_binned,priority_level_clean_binned,delivery_status_clean_binned,signature_required_skewfix,scheduled_window_min_skewfix,actual_arrival_min_skewfix,packages_count_skewfix,package_weight_lb_raw_skewfix,package_weight_lb_skewfix,distance_from_prev_mi_skewfix,service_time_min_skewfix,fuel_cost_usd_skewfix,tip_usd_skewfix,customer_claim_usd_skewfix,cargo_temp_f_skewfix,gps_accuracy_m_skewfix,device_battery_pct_skewfix,customer_satisfaction_skewfix,stop_dayofweek_skewfix,stop_is_weekend_skewfix,lateness_min_skewfix
S-00001,R-102,D-041,V-008,Fort Collins,Rural,front_desk,residential,Standard,0,clear,08-Mar-2025 12:50 MDT,08-Mar-2025 12:50 MDT,125.0,2024-11-01 13:15:00,375.0,3.0,5.98,5.98,9.641375,14.5,3.44,3.48,0.0,38.82,9.8,53.3,delivered,customer_not_home,85.67,check,fort-collins,rural,residential,standard,delivered,2025-03-08 12:50:00,2025-03-08 12:50:00,5.0,1.0,250.0,Other,Other,Other,Other,Other,Rural,front_desk,residential,Other,clear,Other,Other,Other,delivered,customer_not_home,check,fort-collins,rural,residential,standard,delivered,0.0,7937.5,229.7902808387031,1.0641270562537064,1.4724372642411068,1.4724372642411068,6.519421672746649,1.8685302824883503,2.138837355279667,0.4750876913265306,0.0,22.57270196760245,1.3914193805498154,53.3,3755.34445,4.46194756940847,1.0,159.3847509804015
S-00002,R-116,D-048,V-018,Boulder,Downtown,leave_at_door,residential,expedited,0,clear,2025-04-02 09:30 MST,2025-04-02 09:30 MST,54.0,2024-11-02 09:36:00,156.0,2.0,2.52,2.52,2.408,29.35625,0.97,0.0,118.12,51.82,6.5,91.9,failed,address_issue,55.04,check,boulder,downtown,residential,expedited,failed,2025-04-02 09:30:00,2025-04-02 09:30:00,2.0,0.0,102.0,Other,Other,Other,Other,Boulder,Downtown,leave_at_door,residential,expedited,clear,Other,Other,Other,failed,address_issue,check,boulder,downtown,residential,expedited,failed,0.0,1512.0,104.10134953243625,0.8890149625568643,1.04817684409885,1.04817684409885,1.9415974997816285,2.138195387710671,0.7788873719292809,0.0,118.12,28.614051819971653,1.2697032566597786,91.9,1569.7408,1.875417088358097,0.0,70.88532397263417
S-00003,R-148,D-015,V-009,Colorado Springs,Suburban,front_desk,residential,same_day,0,clear,17-Aug-2025 10:30 MDT ,17-Aug-2025 10:30 MDT ,43.0,2024-11-03 10:20:00,200.0,3.0,12.4,12.4,2.788,26.51,1.07,0.0,0.0,57.34,20.7,59.7,resheduled,customer_not_home,64.56,check,colorado-springs,suburban,residential,same_day,rescheduled,2025-08-17 10:30:00,2025-08-17 10:30:00,6.0,1.0,157.0,Other,Other,Other,Other,Other,Suburban,front_desk,residential,same_day,clear,Other,Other,Other,Other,customer_not_home,check,colorado-springs,suburban,residential,same_day,rescheduled,0.0,967.5,130.30056125675895,1.0641270562537064,1.803136475713232,1.803136475713232,2.200445041444678,2.100138864450908,0.8444764856012952,-0.0,0.0,31.0857659594951,1.5706612092589083,59.7,2148.5568000000003,5.291331975501458,1.0,104.70428665559479
S-00004,R-106,D-007,V-035,Boulder,Rural,leave_at_door,Residential,same_day,0,snow,07/08/2025 06:00 PM,07/08/2025 06:00 PM,56.0,2024-11-04 18:15:00,675.0,3.0,10.11,10.11,8.024,13.4,1.88,0.0,0.0,41.56,5.3,90.3,failed,address_issue,47.71,check,boulder,rural,residential,same_day,failed,2025-07-08 06:00:00,2025-07-08 06:00:00,1.0,0.0,619.0,Other,Other,Other,Other,Boulder,Rural,leave_at_door,Other,same_day,snow,Other,Other,Other,failed,address_issue,check,boulder,rural,residential,same_day,failed,0.0,1624.0,390.36883233525265,1.0641270562537064,1.7146401880719055,1.7146401880719055,5.234605121195196,1.8358224145060638,1.3167789096181763,-0.0,0.0,23.87530303348969,1.2031809271104041,90.3,1185.83205,0.962295536748461,0.0,361.05683576797543
S-00005,R-103,D-038,V-028,Boulder,Suburban,side_entrance,business ,standard,0,rain,2025-02-23 11:15 MST,2025-02-23 11:15 MST,121.0,2024-11-05 11:15:00,255.0,5.0,6.22,6.22,6.72,21.54,1.53,0.0,0.0,25.35,9.6,51.4,delivered,customer_not_home,82.46,check,boulder,suburban,business,standard,delivered,2025-02-23 11:15:00,2025-02-23 11:15:00,6.0,1.0,134.0,Other,Other,Other,Other,Boulder,Suburban,side_entrance,Other,standard,rain,Other,Other,Other,delivered,customer_not_home,check,boulder,suburban,business,standard,delivered,0.0,7441.5,162.25932159957858,1.2791016451735329,1.4912147404112122,1.4912147404112122,4.545000125362781,2.0241738025705165,1.124000234796046,0.0,0.0,15.871212149019481,1.3857048831660488,51.4,3482.2857999999997,5.291331975501458,1.0,90.73438877084136
S-00006,R-114,D-002,V-006,Fort-Collins,Suburban,building_super,Residential,standard,0,rain,08-Feb-2025 07:45,08-Feb-2025 07:45,122.0,2024-11-06 07:55:00,55.0,1.0,3.81,3.81,-2.077,10.96,1.19,0.0,0.0,45.66,4.5,55.1,delivered,customer_not_home,90.62,check,fort-collins,suburban,residential,standard,delivered,2025-02-08 07:45:00,2025-02-08 07:45:00,5.0,1.0,0.0,Other,Other,Other,Other,Fort-Collins,Suburban,Other,Other,standard,rain,Other,Other,Other,delivered,customer_not_home,check,fort-collins,suburban,residential,standard,delivered,0.0,7564.0,40.49208680597269,0.6053542918620024,1.2525099368149217,1.2525099368149217,-1.0976083387537812,1.7500472611759454,0.9207210062828284,0.0,0.0,25.7936807572111,1.1471971345775582,55.1,4196.6122000000005,4.46194756940847,1.0,0.0
S-00007,R-139,D-015,V-033,Denver-East,Suburban,mailroom,business,expedited,1,clear,2025/05/13 08:20:00 MDT ,2025/05/13 08:20:00 MDT ,45.0,2024-11-07 08:28:00,88.0,5.0,4.21,4.21,2.92,17.46,1.33,0.0,0.0,36.17,15.2,52.1,delivered,customer_not_home,72.0,check,denver-east,suburban,business,expedited,delivered,2025-05-13 08:20:00,2025-05-13 08:20:00,1.0,0.0,43.0,Other,Other,Other,Other,Denver-East,Suburban,mailroom,business,expedited,clear,Other,Other,Other,delivered,customer_not_home,check,denver-east,suburban,business,expedited,delivered,1.0,1057.5,62.01492167417758,1.2791016451735329,1.3017837414753735,1.3017837414753735,2.2885111279757453,1.9433511412585762,1.0065689030876825,0.0,0.0,21.29571754861965,1.5030960050000468,52.1,2664.0,0.962295536748461,0.0,32.375014299213646
S-00008,R-113,D-002,V-036,Denver-East ,Industrial,mailroom,business,standard,1,clear,14-Dec-2025 17:30 MDT,14-Dec-2025 17:30 MDT,111.0,2024-11-08 17:27:00,627.0,1.0,4.55,4.55,3.632,29.35625,1.63,0.0,118.12,38.94,6.2,38.1,failed,weather_delay,54.55,check,denver-east,industrial,business,standard,failed,2025-12-14 17:30:00,2025-12-14 17:30:00,6.0,1.0,516.0,Other,Other,Other,Other,Other,Industrial,mailroom,business,standard,clear,Other,Other,Other,failed,weather_delay,check,denver-east,industrial,business,standard,failed,1.0,6271.5,365.2599564049348,0.6053542918620024,1.3399498736064346,1.3399498736064346,2.7491544994146513,2.17890626495701,1.1806312409957027,-0.0,118.12,22.630117613586705,1.2546440075000702,38.1,1542.40125,5.291331975501458,1.0,306.4270260103053
S-00009,R-127,D-046,V-035,Denver-East,Suburban,garage,residential,standard,1,wind,2025-12-16 15:00 MDT,2025-12-16 15:00 MDT,121.0,2024-11-09 14:59:00,479.0,1.0,1.36,1.36,8.386,25.61,1.62,0.0,0.0,56.49,6.8,64.0,delivered,customer_not_home,83.99,check,denver-east,suburban,residential,standard,delivered,2025-12-16 15:00:00,2025-12-16 15:00:00,1.0,0.0,358.0,Other,Other,Other,Other,Denver-East,Suburban,garage,residential,standard,wind,Other,Other,Other,delivered,customer_not_home,check,denver-east,suburban,residential,standard,delivered,1.0,7441.5,286.54566193533344,0.6053542918620024,0.7569816586105073,0.7569816586105073,5.420604866159709,2.087771526217608,1.1750269243193263,-0.0,0.0,30.70831403060361,1.283885125960567,64.0,3611.1500499999997,0.962295536748461,0.0,220.37295825417237
S-00010,R-138,D-015,V-029,Boulder,Rural,locker_pickup,business,standard,1,wind,13-Mar-2025 20:20 MST,13-Mar-2025 20:20 MST,86.0,2024-11-10 20:30:00,810.0,1.0,2.27,2.27,9.641375,13.07,3.44,0.0,0.0,54.2,13.3,101.2,rescheduled,customer_not_home,74.51,check,boulder,rural,business,standard,rescheduled,2025-03-13 20:20:00,2025-03-13 20:20:00,3.0,0.0,724.0,Other,Other,Other,Other,Boulder,Rural,Other,business,standard,wind,Other,Other,Other,rescheduled,customer_not_home,check,boulder,rural,business,standard,rescheduled,1.0,3784.0,460.0750420126457,0.6053542918620024,0.9971096649055469,0.9971096649055469,6.519421672746649,1.8253709221742092,2.189848612249516,-0.0,0.0,29.68579457437065,1.471114114652055,101.2,2850.38005,2.7580025035383304,0.0,415.81749760692935
